Name,URL,Author,Price,Number of Ratings,Average Rating
High School English Grammar and Composition Book (Regular Edition),https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1,D,290.00,647,4.3 out of 5 stars
Quantitative Aptitude for Competitive Examinations (Old Edition),https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Old/dp/8121924987?_encoding=UTF8&psc=1,R.S. Aggarwal,299.00,1913,3.8 out of 5 stars
Pregnancy Notes: Before  During & After,https://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1,Rujuta Diwekar,112.00,136,3.9 out of 5 stars
Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session),https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193663012?_encoding=UTF8&psc=1,R.D. Sharma,855.00,4,3.4 out of 5 stars
Man's Search for Meaning,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1,Viktor E Frankl,187.00,455,4.2 out of 5 stars
History of Modern India,https://www.amazon.in/History-Modern-India-BIPAN-CHANDRA/dp/8125036849?_encoding=UTF8&psc=1,BIPAN CHANDRA,230.00,597,4.0 out of 5 stars
The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition #2),https://www.amazon.in/Fortune-Geronimo-Stilton-Kingdom-Fantasy/dp/9352751183?_encoding=UTF8&psc=1,Geronimo Stilton,596.00,142,4.7 out of 5 stars
How to Win Friends and Influence People,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1,Dale Carnegie,71.00,1808,4.5 out of 5 stars
Skin in the Game,https://www.amazon.in/Skin-Game-Nassim-Nicholas-Taleb/dp/0241300657?_encoding=UTF8&psc=1,Nassim Nicholas Taleb,539.00,5,4.1 out of 5 stars
Concepts of Physics 2,https://www.amazon.in/Concepts-Physics-2-H-C-Verma/dp/8177092324?_encoding=UTF8&psc=1,H.C. Verma,307.00,425,4.6 out of 5 stars
Homo Deus: A Brief History of Tomorrow,https://www.amazon.in/Homo-Deus-Brief-History-Tomorrow/dp/1784703931?_encoding=UTF8&psc=1,Yuval Noah Harari,293.00,159,4.5 out of 5 stars
The Secret Of The Nagas (Shiva Trilogy-2),https://www.amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1,Amish Tripathi,179.00,1479,4.6 out of 5 stars
