Name,URL,Author,Price,Number of Ratings,Average Rating
Enlightenment Now: The Case for Reason  Science  Humanism  and Progress,https://www.amazon.in/Enlightenment-Now-Science-Humanism-Progress/dp/0525427570?_encoding=UTF8&psc=1,Steven Pinker,.00,120,3.6 out of 5 stars
Big Preschool Workbook,https://www.amazon.in/Preschool-Workbook-School-Zone-Staff/dp/0887431453?_encoding=UTF8&psc=1,School Zone Staff,49,672,4.7 out of 5 stars
The Wonderful Things You Will Be,https://www.amazon.in/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1,Emily Winfield Martin,.46,1426,4.8 out of 5 stars
Call Me by Your Name: A Novel,https://www.amazon.in/Call-Me-Your-Name-Novel/dp/1250169445?_encoding=UTF8&psc=1,André Aciman,60,1063,4.6 out of 5 stars
The Great Alone: A Novel,https://www.amazon.in/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1,Kristin Hannah,.39,1004,4.6 out of 5 stars
Before We Were Yours: A Novel,https://www.amazon.in/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1,Lisa Wingate,.60,5582,4.7 out of 5 stars
Dear Zoo: A Lift-the-Flap Book,https://www.amazon.in/Dear-Zoo-Lift-Flap-Book/dp/141694737X?_encoding=UTF8&psc=1,Board book,71,2544,4.8 out of 5 stars
The Whole30: The 30-Day Guide to Total Health and Food Freedom,https://www.amazon.in/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1,Melissa Hartwig,.00,3173,4.6 out of 5 stars
How to Win Friends & Influence People,https://www.amazon.in/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1,Dale Carnegie,60,7999,4.7 out of 5 stars
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),https://www.amazon.in/Four-Agreements-Practical-Personal-Freedom/dp/1878424319?_encoding=UTF8&psc=1,Don Miguel Ruiz,77,6883,4.6 out of 5 stars
The Escape Artist,https://www.amazon.in/Escape-Artist-Brad-Meltzer/dp/1455559520?_encoding=UTF8&psc=1,Brad Meltzer,.80,73,4.4 out of 5 stars
The Kremlin Conspiracy,https://www.amazon.in/Kremlin-Conspiracy-Joel-C-Rosenberg/dp/1496406176?_encoding=UTF8&psc=1,Joel C. Rosenberg,.68,15,4.8 out of 5 stars
Beneath a Scarlet Sky: A Novel,https://www.amazon.in/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1,Mark Sullivan,63,16425,4.8 out of 5 stars
Little Blue Truck's Springtime,https://www.amazon.in/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1,Board book,74,62,3.6 out of 5 stars
Bachelor Nation: Inside the World of America's Favorite Guilty Pleasure,https://www.amazon.in/Bachelor-Nation-Americas-Favorite-Pleasure/dp/1101985909?_encoding=UTF8&psc=1,Amy Kaufman,.00,15,3.4 out of 5 stars
Love You Forever,https://www.amazon.in/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1,Robert Munsch,31,6345,4.8 out of 5 stars
The Night Before St. Patrick's Day,https://www.amazon.in/Night-Before-St-Patricks-Day/dp/0448448521?_encoding=UTF8&psc=1,Natasha Wing,74,227,4.6 out of 5 stars
Magnolia Table: A Collection of Recipes for Gathering,https://www.amazon.in/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1,Joanna Gaines,.99,Not Available,Not Available
She Persisted Around the World: 13 Women Who Changed History,https://www.amazon.in/She-Persisted-Around-World-Changed/dp/0525516999?_encoding=UTF8&psc=1,Chelsea Clinton,.49,6,3.5 out of 5 stars
Brown Bear  Brown Bear  What Do You See?,https://www.amazon.in/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1,Board book,08,2649,4.8 out of 5 stars
Principles: Life and Work,https://www.amazon.in/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1,Ray Dalio,.00,419,4.5 out of 5 stars
Oh  the Places You'll Go!  ,https://www.amazon.in/Oh-Places-Youll-Dr-Seuss/dp/0679805273?_encoding=UTF8&psc=1,Dr. Seuss,.00,4014,4.9 out of 5 stars
The Instant Pot® Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,https://www.amazon.in/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1,Laurel Randolph,99,2180,4.1 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Joke Book for Kids with Riddles and Knock-Knock Jokes Included - Top Gift in Easter Basket Stuffers ... and Girls  Easter Crafts  Books  Toys & Games,https://www.amazon.in/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1,Easter Jokes for Kids,77,7,5.0 out of 5 stars
An American Marriage: A Novel (Oprah's Book Club 2018 Selection),https://www.amazon.in/American-Marriage-Novel-Oprahs-Selection/dp/1616208775?_encoding=UTF8&psc=1,Tayari Jones,.17,407,4.6 out of 5 stars
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,https://www.amazon.in/Make-Your-Bed-Little-Things/dp/1455570249?_encoding=UTF8&psc=1,William H. McRaven,.80,1667,4.7 out of 5 stars
The Pout-Pout Fish,https://www.amazon.in/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1,Board book,79,2248,4.8 out of 5 stars
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),https://www.amazon.in/Dog-Man-Creator-Captain-Underpants/dp/0545935172?_encoding=UTF8&psc=1,Dav Pilkey,25,Not Available,Not Available
The Untethered Soul: The Journey Beyond Yourself,https://www.amazon.in/Untethered-Soul-Journey-Beyond-Yourself/dp/1572245379?_encoding=UTF8&psc=1,Michael A. Singer,.51,4336,4.7 out of 5 stars
Milk and Vine: Inspirational Quotes From Classic Vines,https://www.amazon.in/Milk-Vine-Inspirational-Quotes-Classic/dp/1973124262?_encoding=UTF8&psc=1,Adam Gasiewski,39,619,4.0 out of 5 stars
The Alchemist,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/0062315005?_encoding=UTF8&psc=1,Paulo Coelho,.19,11737,4.6 out of 5 stars
StrengthsFinder 2.0,https://www.amazon.in/StrengthsFinder-2-0-Tom-Rath/dp/159562015X?_encoding=UTF8&psc=1,Tom Rath,.79,3408,4.0 out of 5 stars
The Keto Diet: The Complete Guide to a High-Fat Diet  with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight  Heal Your Body  and Regain Confidence,https://www.amazon.in/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1,Leanne Vogel,.71,1418,4.6 out of 5 stars
Fire and Fury: Inside the Trump White House,https://www.amazon.in/Fire-Fury-Inside-Trump-White/dp/1250158060?_encoding=UTF8&psc=1,Michael Wolff,.00,7050,4.3 out of 5 stars
What to Expect When You're Expecting,https://www.amazon.in/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1,Heidi Murkoff,.36,4161,4.4 out of 5 stars
There Was an Old Lady Who Swallowed a Clover!,https://www.amazon.in/There-Was-Lady-Swallowed-Clover/dp/0545352223?_encoding=UTF8&psc=1,Lucille Colandro,40,114,4.3 out of 5 stars
The Woman in the Window: A Novel,https://www.amazon.in/Woman-Window-Novel-J-Finn/dp/0062678418?_encoding=UTF8&psc=1,A. J. Finn,.19,1531,4.4 out of 5 stars
The Care and Keeping of You: The Body Book for Younger Girls  Revised Edition,https://www.amazon.in/Care-Keeping-You-Younger-Revised/dp/1609580834?_encoding=UTF8&psc=1,Valorie Schaefer,89,2448,4.8 out of 5 stars
Potty (Leslie Patricelli board books),https://www.amazon.in/Potty-Leslie-Patricelli-board-books/dp/0763644765?_encoding=UTF8&psc=1,Board book,00,2949,4.6 out of 5 stars
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://www.amazon.in/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/1607747308?_encoding=UTF8&psc=1,Marie Kondō,89,12870,4.4 out of 5 stars
Educated: A Memoir,https://www.amazon.in/Educated-Memoir-Tara-Westover/dp/0399590501?_encoding=UTF8&psc=1,Tara Westover,.80,261,4.7 out of 5 stars
Twentieth-Century Boy: Notebooks of the Seventies,https://www.amazon.in/Twentieth-Century-Boy-Notebooks-Duncan-Hannah/dp/1524733393?_encoding=UTF8&psc=1,Duncan Hannah,.06,Not Available,Not Available
Emotional Intelligence 2.0,https://www.amazon.in/Emotional-Intelligence-2-0-Travis-Bradberry/dp/0974320625?_encoding=UTF8&psc=1,Travis Bradberry,.97,1079,4.1 out of 5 stars
Easter Eggstravaganza Mad Libs,https://www.amazon.in/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1,Roger Price,74,133,4.6 out of 5 stars
Willpower Doesn't Work: Discover the Hidden Keys to Success,https://www.amazon.in/Willpower-Doesnt-Work-Discover-Success/dp/0316441325?_encoding=UTF8&psc=1,Benjamin Hardy,.71,189,4.8 out of 5 stars
The Official SAT Study Guide  2018 Edition (Official Study Guide for the New Sat),https://www.amazon.in/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1,The College Board,.84,204,4.5 out of 5 stars
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),https://www.amazon.in/Dog-Man-Kitties-Creator-Underpants/dp/0545935210?_encoding=UTF8&psc=1,Dav Pilkey,08,397,4.8 out of 5 stars
The Last Black Unicorn,https://www.amazon.in/Last-Black-Unicorn-Tiffany-Haddish/dp/1501181823?_encoding=UTF8&psc=1,Tiffany Haddish,.60,1455,4.8 out of 5 stars
Baby Touch and Feel: Animals,https://www.amazon.in/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1,Board book,19,1587,4.5 out of 5 stars
Astrophysics for People in a Hurry,https://www.amazon.in/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?_encoding=UTF8&psc=1,Neil deGrasse Tyson,.37,2536,4.6 out of 5 stars
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,https://www.amazon.in/Habits-Highly-Effective-People-Powerful/dp/1451639619?_encoding=UTF8&psc=1,Stephen R. Covey,.50,4971,4.5 out of 5 stars
Dog Man: From the Creator of Captain Underpants (Dog Man #1),https://www.amazon.in/Dog-Man-Creator-Captain-Underpants/dp/0545581605?_encoding=UTF8&psc=1,Dav Pilkey,08,476,4.7 out of 5 stars
Medical Medium Thyroid Healing: The Truth behind Hashimoto's  Graves'  Insomnia  Hypothyroidism  Thyroid Nodules & Epstein-Barr,https://www.amazon.in/Medical-Medium-Thyroid-Healing-Hypothyroidism/dp/1401948367?_encoding=UTF8&psc=1,Anthony William,.31,1147,4.8 out of 5 stars
Publication Manual of the American Psychological Association  6th Edition,https://www.amazon.in/Publication-Manual-American-Psychological-Association/dp/1433805618?_encoding=UTF8&psc=1,American,.66,4340,4.3 out of 5 stars
Dungeon Master's Guide (D&D Core Rulebook),https://www.amazon.in/Dungeon-Masters-Guide-Core-Rulebook/dp/0786965622?_encoding=UTF8&psc=1,Wizards RPG Team,.97,1130,4.6 out of 5 stars
Girl  Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be,https://www.amazon.in/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1,Rachel Hollis,.79,1061,4.9 out of 5 stars
The 10-Day Belly Slimdown: Lose Your Belly  Heal Your Gut  Enjoy a Lighter  Younger You,https://www.amazon.in/10-Day-Belly-Slimdown-Lighter-Younger/dp/1524762997?_encoding=UTF8&psc=1,Dr. Kellyann Petrucci,.20,31,4.4 out of 5 stars
Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),https://www.amazon.in/Dog-Man-Unleashed-Creator-Underpants/dp/0545935202?_encoding=UTF8&psc=1,Dav Pilkey,99,403,4.8 out of 5 stars
A Gentleman in Moscow: A Novel,https://www.amazon.in/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?_encoding=UTF8&psc=1,Amor Towles,.20,7532,4.7 out of 5 stars
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,https://www.amazon.in/Gifts-Imperfection-Think-Supposed-Embrace/dp/159285849X?_encoding=UTF8&psc=1,Brené Brown,04,3684,4.6 out of 5 stars
Obama: An Intimate Portrait,https://www.amazon.in/Obama-Intimate-Portrait-Pete-Souza/dp/0316512583?_encoding=UTF8&psc=1,Pete Souza,.25,1063,4.9 out of 5 stars
Pachinko (National Book Award Finalist),https://www.amazon.in/Pachinko-National-Book-Award-Finalist/dp/1455563927?_encoding=UTF8&psc=1,Min Jin Lee,.14,841,4.4 out of 5 stars
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,https://www.amazon.in/Total-Money-Makeover-Classic-Financial/dp/1595555277?_encoding=UTF8&psc=1,Dave Ramsey,.49,5683,4.7 out of 5 stars
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,https://www.amazon.in/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1,Paper Peony Press,99,129,4.5 out of 5 stars
The Hate U Give,https://www.amazon.in/Hate-U-Give-Angie-Thomas/dp/0062498533?_encoding=UTF8&psc=1,Angie Thomas,.79,1604,4.8 out of 5 stars
